"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"ENSG00000000003.15",2537.47113379147,-0.566265620051886,0.0631564022896672,-8.966084189766,3.07243151449402e-19,7.01373969168806e-18,"ENSG00000000003","TSPAN6"
"ENSG00000000457.14",1140.69879514106,0.114529082888871,0.063868595051169,1.79319871992041,0.0729411547095666,0.130147367652589,"ENSG00000000457","SCYL3"
"ENSG00000000460.17",349.898273599051,-0.552052613516134,0.137921190705949,-4.00266710786395,6.2632399691168e-05,0.000251696791570897,"ENSG00000000460","C1orf112"
"ENSG00000001036.14",1591.83860590675,0.0561244423911704,0.0563715808617864,0.995615903140593,0.319436804786061,0.43250575788726,"ENSG00000001036","FUCA2"
"ENSG00000001084.13",1582.66612200613,-0.00661600810388355,0.0515086081272029,-0.128444707485495,0.89779705268725,0.931105909331092,"ENSG00000001084","GCLC"
"ENSG00000001460.18",1423.03047019227,0.225999185063383,0.155396330406397,1.45434055278103,0.145851912602475,0.231416068399355,"ENSG00000001460","STPG1"
"ENSG00000001461.17",3988.37115873711,0.326592738205293,0.0845782088978371,3.86142887702656,0.000112725828457771,0.000427671097849842,"ENSG00000001461","NIPAL3"
"ENSG00000001497.18",880.148208023483,0.136955460622303,0.0945082963009685,1.44913691160148,0.147299351664843,0.233283537141593,"ENSG00000001497","LAS1L"
"ENSG00000001561.7",1352.13341738926,0.104618528930043,0.0703117361822398,1.48792413060152,0.136770903119397,0.219487764261773,"ENSG00000001561","ENPP4"
"ENSG00000001617.12",951.19966533704,0.142201431589753,0.0872760014094722,1.62933027743317,0.103243119894632,0.173614672194452,"ENSG00000001617","SEMA3F"
"ENSG00000001629.10",6194.16989653648,0.0485111586734852,0.0322123813409743,1.50597865336267,0.132072653644897,0.213166180889571,"ENSG00000001629","ANKIB1"
"ENSG00000001630.18",17997.4659734359,0.133071190639027,0.0312488940423566,4.25842880898935,2.05868759500052e-05,9.17591610239136e-05,"ENSG00000001630","CYP51A1"
"ENSG00000001631.17",1187.4268744049,0.024704629869335,0.098980855503498,0.249589981251091,0.802904447232026,0.864082889651006,"ENSG00000001631","KRIT1"
"ENSG00000002016.18",724.621450731016,-0.185371921594444,0.11008274116105,-1.683932645929,0.0921946863168546,0.158505556942246,"ENSG00000002016","RAD52"
"ENSG00000002549.13",994.550622633445,-0.0933523518186561,0.122379078556202,-0.762812998103955,0.445574928160795,0.55846007602177,"ENSG00000002549","LAP3"
"ENSG00000002586.20",7869.78449054324,-0.369055386509412,0.0794602588591976,-4.64452786597855,3.40855042297643e-06,1.75007036172888e-05,"ENSG00000002586","CD99"
"ENSG00000002746.15",4280.42865202205,-0.235132857076003,0.0438960920150091,-5.3565783713868,8.48127214051389e-08,5.71220537472648e-07,"ENSG00000002746","HECW1"
"ENSG00000002822.16",858.106638983572,0.172930774009862,0.149294963477431,1.15831619487957,0.246735024818356,0.353364819699533,"ENSG00000002822","MAD1L1"
"ENSG00000002834.18",8936.03791030051,0.384990756982175,0.0349221312657899,11.0242629251931,2.91899915135298e-28,1.17109082231689e-26,"ENSG00000002834","LASP1"
"ENSG00000002919.15",285.738581284918,-0.165899335335271,0.218750921041036,-0.758393768335948,0.448215287368351,0.561070572225584,"ENSG00000002919","SNX11"
"ENSG00000003056.8",4511.75088584904,-0.0158503986751591,0.0386929417818046,-0.409645737575135,0.682065840335416,0.766768487049942,"ENSG00000003056","M6PR"
"ENSG00000003096.14",1523.4195957289,0.302989988558009,0.0636532820034993,4.76000575337737,1.93587440698899e-06,1.03946728940859e-05,"ENSG00000003096","KLHL13"
"ENSG00000003147.19",1582.67204084981,0.302463928961786,0.0903618999486515,3.34725065689923,0.000816173748546185,0.00257048563979108,"ENSG00000003147","ICA1"
"ENSG00000003249.15",3151.67119706653,0.205085688803336,0.0571899792261026,3.58604237278217,0.000335734429950143,0.00114983805334031,"ENSG00000003249","DBNDD1"
"ENSG00000003393.16",5647.72379436371,0.137793844108848,0.0339994974121332,4.05282002961828,5.06039305318124e-05,0.000207572372656986,"ENSG00000003393","ALS2"
"ENSG00000003402.21",4525.21254771561,0.400338304313026,0.0625434813416537,6.40095971195007,1.54403315152268e-10,1.5073358397565e-09,"ENSG00000003402","CFLAR"
"ENSG00000003509.16",865.712319855965,-0.0345373550731394,0.0891576556231479,-0.387373970656228,0.698479370894176,0.780931106649206,"ENSG00000003509","NDUFAF7"
"ENSG00000003756.17",7759.3607174513,-0.0482132939466123,0.0463807472524294,-1.03951093509143,0.298567175073783,0.410184505772979,"ENSG00000003756","RBM5"
"ENSG00000003987.14",3969.57073862176,0.260260736443384,0.0310531263169225,8.38114442285812,5.24155370069774e-17,9.89015663900406e-16,"ENSG00000003987","MTMR7"
"ENSG00000004059.11",3223.15800933688,0.147830126089715,0.0345498180451255,4.27875266655917,1.87943562390496e-05,8.44033640545792e-05,"ENSG00000004059","ARF5"
"ENSG00000004139.14",4974.23318389297,0.144702480843855,0.030437861302247,4.75402918118863,1.99402237852285e-06,1.06878891447146e-05,"ENSG00000004139","SARM1"
"ENSG00000004142.12",3981.10621990681,0.158103576719125,0.0434577220431842,3.63810087795252,0.000274655852206541,0.000959428426741738,"ENSG00000004142","POLDIP2"
"ENSG00000004455.18",3271.40324999608,0.0560348242903291,0.0507070931802565,1.10506875421025,0.26912979843265,0.378304207411556,"ENSG00000004455","AK2"
"ENSG00000004478.8",9325.32851397991,0.00950721672068378,0.028111026597037,0.338202402102451,0.735210665790754,0.811702687885275,"ENSG00000004478","FKBP4"
