"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensgene","symbol"
"ENSG00000000003.15",1890.28097357616,-0.590426156480318,0.0709770275968213,-8.31855286803756,8.90437806991372e-17,1.37585554212677e-15,"ENSG00000000003","TSPAN6"
"ENSG00000000419.14",220.614457153929,-0.389368408249491,0.160408572884656,-2.42735410737349,0.0152094026649865,0.0303371009041315,"ENSG00000000419","DPM1"
"ENSG00000000457.14",1300.27983235206,-0.219282120658385,0.054091881050617,-4.05388232761197,5.03745628020637e-05,0.000170576697083433,"ENSG00000000457","SCYL3"
"ENSG00000000460.17",526.96635509113,-1.11277699838069,0.17860610534683,-6.2303413213105,4.65420030796603e-10,3.32524293723077e-09,"ENSG00000000460","C1orf112"
"ENSG00000001036.14",1746.83832387426,-0.0792162907577521,0.0500144621156755,-1.58386769359905,0.113223830559141,0.174419360804772,"ENSG00000001036","FUCA2"
"ENSG00000001084.13",1411.5433027717,0.0201721947557572,0.0494279732204262,0.408112925565416,0.683190770969639,0.749833081036455,"ENSG00000001084","GCLC"
"ENSG00000001460.18",1419.77131854049,0.730673693697926,0.138097861746131,5.29098484552313,1.21659447950781e-07,6.26868467510902e-07,"ENSG00000001460","STPG1"
"ENSG00000001461.17",3824.41931530596,0.669272485954712,0.08647314750884,7.73965682105295,9.96855142134151e-15,1.23878966090971e-13,"ENSG00000001461","NIPAL3"
"ENSG00000001497.18",881.415409778177,0.0161347102631017,0.107231809293697,0.150465709469756,0.880397202585959,0.910568660697709,"ENSG00000001497","LAS1L"
"ENSG00000001561.7",1197.28192756936,0.200393317973578,0.0751398994336955,2.66693620145723,0.0076546201130647,0.0165272040684552,"ENSG00000001561","ENPP4"
"ENSG00000001617.12",836.590054500318,0.122688300163344,0.0810958765724245,1.51287963517818,0.130310235685355,0.196370842190708,"ENSG00000001617","SEMA3F"
"ENSG00000001629.10",5769.75651564925,0.191102213732716,0.0454584557631582,4.20388705521305,2.62369894283298e-05,9.31515731802607e-05,"ENSG00000001629","ANKIB1"
"ENSG00000001630.18",16593.8919509638,0.125973926637235,0.0395483785514276,3.18531204695085,0.00144597997776067,0.00367356265135838,"ENSG00000001630","CYP51A1"
"ENSG00000001631.17",1077.38757310738,-0.0413639905197301,0.163592938081789,-0.252847042205758,0.800386414073813,0.84734186380218,"ENSG00000001631","KRIT1"
"ENSG00000002016.18",964.056690892027,-0.242171412453013,0.105209140254605,-2.30180963238517,0.0213459101120709,0.040670414648298,"ENSG00000002016","RAD52"
"ENSG00000002549.13",776.680406122496,-0.510619676881623,0.181726330802016,-2.80982769325774,0.00495680296027526,0.0111831535025323,"ENSG00000002549","LAP3"
"ENSG00000002586.20",5979.19888397484,-0.782812935527621,0.0919315426798207,-8.51517240664614,1.66342638354662e-17,2.78442124010885e-16,"ENSG00000002586","CD99"
"ENSG00000002746.15",3655.15836263018,0.0535556944316025,0.0730940048083806,0.732696129757855,0.463743785019918,0.554961675734843,"ENSG00000002746","HECW1"
"ENSG00000002822.16",796.002316228809,0.316198265747749,0.0990832212360131,3.19123926133341,0.00141663912398511,0.00360574972708549,"ENSG00000002822","MAD1L1"
"ENSG00000002834.18",8242.29584830352,0.224584317350537,0.0357891791275775,6.27520169015229,3.49181352327728e-10,2.54219792636462e-09,"ENSG00000002834","LASP1"
"ENSG00000002919.15",262.70703444433,-0.180425974178825,0.184091293573785,-0.980089664623431,0.327041860439925,0.420973202644227,"ENSG00000002919","SNX11"
"ENSG00000003056.8",4015.53964557487,-0.138228077339154,0.0382585506512418,-3.61299827061449,0.000302676723162868,0.000884075778048778,"ENSG00000003056","M6PR"
"ENSG00000003096.14",1312.56457098836,0.215670476086589,0.0707314480262599,3.04914549475247,0.00229493307655449,0.00560044114459712,"ENSG00000003096","KLHL13"
"ENSG00000003147.19",1512.73684842995,0.199693581059279,0.0543335681807905,3.67532609665566,0.000237545804012906,0.000709222401698378,"ENSG00000003147","ICA1"
"ENSG00000003249.15",2896.55190317369,0.450285403398866,0.0541231312422509,8.31964805183617,8.82248907516852e-17,1.36492372017727e-15,"ENSG00000003249","DBNDD1"
"ENSG00000003393.16",5413.69454415639,0.103552120691311,0.0389340257982859,2.65968182247083,0.00782145007892291,0.0168666363634358,"ENSG00000003393","ALS2"
"ENSG00000003402.21",4412.11555613165,0.679498987894964,0.0769971397529066,8.82498999411615,1.09469597616122e-18,2.00497904273594e-17,"ENSG00000003402","CFLAR"
"ENSG00000003509.16",947.250579999119,-0.278107967212531,0.0847228988276063,-3.2825596274559,0.00102869227382987,0.00269213294131512,"ENSG00000003509","NDUFAF7"
"ENSG00000003756.17",7324.40003231467,-0.0311263369497354,0.0385946257599903,-0.806494073638694,0.419958023781897,0.513410743079056,"ENSG00000003756","RBM5"
"ENSG00000003987.14",3710.39019151358,0.306022825507638,0.0428427815782271,7.1429261647932,9.13647095049348e-13,9.07941431925357e-12,"ENSG00000003987","MTMR7"
"ENSG00000004059.11",2776.72568158872,0.119282518720866,0.0571549858867679,2.08700110533107,0.0368880346311987,0.0660019051400222,"ENSG00000004059","ARF5"
"ENSG00000004139.14",4563.46471189963,0.264047470067382,0.0637427780460936,4.14239037207391,3.43704671925329e-05,0.000119854630679515,"ENSG00000004139","SARM1"
"ENSG00000004142.12",3484.36592569562,0.200237580672914,0.0348692441600792,5.74252713232483,9.32739276958645e-09,5.66907458361819e-08,"ENSG00000004142","POLDIP2"
