"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"1","ENSG00000223972.5",2.05467996359292,0.344389224057049,1.20743284931148,0.285224328834049,0.77547228244661,0.86538464254342,"DDX11L1"
"2","ENSG00000227232.5",0.9211468651175,3.26724863405425,1.74055294737024,1.87713257387009,0.0604999259006894,NA,"WASH7P"
"3","ENSG00000233750.3",2.16236019243696,0.825162040999386,1.11594845782575,0.73942666008705,0.459647958492022,0.616543260105378,"CICP27"
"4","ENSG00000279457.4",1.4891490174559,-1.14592984919246,1.35297612297517,-0.846969750414057,0.397011982384437,0.559854663921496,"WASH9P"
"5","ENSG00000286448.1",3.50703921443563,0.334844716792783,0.873758069429606,0.383223604459952,0.701553977711336,0.814683124897752,"AP006222.2"
"6","ENSG00000230021.10",61.7690328293603,-0.197967397466639,0.241002887222457,-0.821431642368273,0.411400446060742,0.573980483009383,"AL669831.3"
"7","ENSG00000225972.1",1.55712385814285,-0.813097501921101,2.99797279608239,-0.271215770531213,0.786225084275013,0.872864367877299,"MTND1P23"
"8","ENSG00000225630.1",24.4611566424759,-1.44020467618806,0.393893976955618,-3.65632571312544,0.000255856225869667,0.00120281128869765,"MTND2P28"
"9","ENSG00000237973.1",5.84105564219671,-0.864718620453372,0.712635640159045,-1.2134091697412,0.224973422198134,0.372986708079472,"MTCO1P12"
"10","ENSG00000278791.1",9.89763582298231,-1.73270686011456,0.566173235332774,-3.06038285101228,0.00221054220020115,0.00828357970202007,"AC114498.2"
"11","ENSG00000229344.1",1.77902941928742,-2.07849866397649,1.37990120628414,-1.50626628523181,0.131998829367774,0.249774841560877,"MTCO2P12"
"12","ENSG00000248527.1",326.035673847684,-2.4560401679373,0.138326217977772,-17.7554205113304,1.56494123448698e-70,4.56295439061374e-68,"MTATP6P1"
"13","ENSG00000198744.5",1.23849710785325,-0.17573268735947,1.38864632674276,-0.126549636127777,0.899296860881383,0.946202657348425,"MTCO3P12"
"14","ENSG00000229376.3",6.4991111050951,0.25286021408675,0.640352320279235,0.394876704712317,0.692933882802143,0.8071790651274,"CICP3"
"15","ENSG00000228327.3",0.829494026149601,2.15354540092494,1.85855250314379,1.15872185331443,0.246569580118826,NA,"AL669831.1"
"16","ENSG00000237491.10",12.0774703549095,-0.494753087214652,0.476601414877396,-1.03808564509177,0.299230183892172,0.458665392812532,"LINC01409"
"17","ENSG00000177757.2",6.06748853475239,-1.91052231469625,0.711615304486029,-2.68476844532756,0.00725800711594652,0.0231394930194359,"FAM87B"
"18","ENSG00000228794.10",22.2205980613242,-0.493111592231208,0.338716969742821,-1.45582192886768,0.145441852080302,0.268943822626625,"LINC01128"
"19","ENSG00000225880.5",5.40722510152603,2.55693661669868,0.834042068694418,3.065716601923,0.00217149029064936,0.00815573744889276,"LINC00115"
"20","ENSG00000230368.2",2.05318626899902,2.07958794922966,1.27844784570211,1.62665059526739,0.103811327118149,0.208347725758835,"FAM41C"
"21","ENSG00000272438.1",5.04840960904924,-0.240958125557769,0.726180321252326,-0.331815829355204,0.740028330752895,0.844997795083947,"AL645608.6"
"22","ENSG00000230699.2",13.6860809568467,-1.3886003190778,0.49770792843,-2.78999035329432,0.0052709612026115,0.0175819898661134,"AL645608.2"
"23","ENSG00000223764.2",317.070997576701,-1.02561023741403,0.124992761799009,-8.20535703549965,2.2990662284545e-16,4.88046960509286e-15,"LINC02593"
"24","ENSG00000187634.12",1558.49402562097,0.250375602198973,0.0742078693308335,3.37397643210518,0.000740907108118842,0.0031249649792215,"SAMD11"
"25","ENSG00000188976.11",1620.90284055193,1.46838066375015,0.0776473146362428,18.9109007906987,9.2758685443809e-80,3.6782529125888e-77,"NOC2L"
"26","ENSG00000187961.14",52.0664021980495,0.355500192657893,0.246375039113449,1.44292292732705,0.149042183739125,0.273667288108505,"KLHL17"
"27","ENSG00000187583.11",29.507798901678,-0.426228761828455,0.316846312593091,-1.34522241505723,0.178553419678962,0.313873450835605,"PLEKHN1"
"28","ENSG00000187642.9",3.77148586358688,1.93919193747026,0.960579189323515,2.01877363055921,0.0435107530084149,0.104642433016186,"PERM1"
"29","ENSG00000188290.11",30.098929189729,0.483194031716941,0.308206778047199,1.56775926466791,0.116937324860058,0.228046174209363,"HES4"
"30","ENSG00000187608.10",2.5695369826021,1.54753131951972,1.16965714731589,1.32306404750397,0.185814079540224,0.324047727283551,"ISG15"
"31","ENSG00000231702.2",12.5321262766912,1.05994098054099,0.519595749310436,2.03993389466264,0.0413569102793049,0.100500485366807,"AL645608.3"
"32","ENSG00000224969.1",16.7524179232328,0.267460354349966,0.419040545418889,0.638268437920732,0.523298953800354,0.674913703050778,"AL645608.1"
"33","ENSG00000188157.15",129.290313417458,-0.910143945733132,0.1580225053195,-5.75958433194655,8.43213235078299e-09,8.1672637087921e-08,"AGRN"
"34","ENSG00000217801.10",12.649684276233,-2.268267391519,0.569594930083613,-3.98224645571552,6.82669348842341e-05,0.000361712591648773,"AL390719.1"
"35","ENSG00000273443.1",16.9772100661204,-1.90254483592383,0.434484991425399,-4.37885053217196,1.19306920538713e-05,7.2695092609744e-05,"AL645608.8"
"36","ENSG00000131591.17",19.1119128838919,-0.194138578194164,0.364065342311642,-0.533252017238105,0.593859137930703,0.732133783889529,"C1orf159"
"37","ENSG00000285812.1",43.1622329895429,-0.66885091853344,0.272179188378154,-2.45739184733025,0.0139949943146952,0.0406902982504816,"AL390719.3"
"38","ENSG00000162571.14",0.618582176395828,0.388266697854978,2.20766703092819,0.175871946455501,0.860394545278475,NA,"TTLL10"
